date, currentInternalTemperature, currentExternalTemperature, referenceTemperature, fanSignal, resistorSignal
2023-06-18 22:52:07.223705,36.0625,22.221865561734283,40.0,0,100
2023-06-18 22:52:08.627037,36.0625,22.22656731523457,40.0,0,100
2023-06-18 22:52:10.030580,36.125,22.234403559699693,40.0,0,81
2023-06-18 22:52:11.433824,36.125,22.241926341016644,40.0,0,100
2023-06-18 22:52:12.837571,36.125,22.245060829366686,40.0,0,100
2023-06-18 22:52:14.240252,36.125,22.25509117680731,40.0,0,100
2023-06-18 22:52:15.643877,36.1875,22.260106341796472,40.0,0,82
2023-06-18 22:52:17.047936,36.1875,22.262613922108265,40.0,0,100
2023-06-18 22:52:18.451577,36.1875,22.267315631270684,40.0,0,100
2023-06-18 22:52:19.855911,36.1875,22.273584568862496,40.0,0,100
2023-06-18 22:52:21.258237,36.25,22.277972819765274,40.0,0,83
2023-06-18 22:52:22.660410,36.25,22.28392829600516,40.0,0,100
2023-06-18 22:52:24.063434,36.25,22.28612241676128,40.0,0,100
2023-06-18 22:52:25.467344,36.25,22.285495525230363,40.0,0,100
2023-06-18 22:52:26.870569,36.3125,22.289256873051634,40.0,0,85
2023-06-18 22:52:28.274188,36.3125,22.281420728062493,40.0,0,100
2023-06-18 22:52:29.677063,36.3125,22.278286266087797,40.0,0,100
2023-06-18 22:52:31.079501,36.3125,22.270136654312502,40.0,0,100
2023-06-18 22:52:32.489947,36.3125,22.266688737011282,40.0,0,100
2023-06-18 22:52:33.888735,36.3125,22.260106341796472,40.0,0,100
2023-06-18 22:52:35.292290,36.375,22.25947944649115,40.0,0,87
2023-06-18 22:52:36.695526,36.375,22.260106341796472,40.0,0,100
2023-06-18 22:52:38.096511,36.375,22.260733237010847,40.0,0,100
2023-06-18 22:52:39.500279,36.375,22.26386771171847,40.0,0,100
2023-06-18 22:52:40.905012,36.4375,22.264494606387142,40.0,0,88
2023-06-18 22:52:42.308324,36.4375,22.264181159064172,40.0,0,100
2023-06-18 22:52:43.711547,36.4375,22.265434948219628,40.0,0,100
2023-06-18 22:52:45.116419,36.4375,22.268882866521288,40.0,0,100
2023-06-18 22:52:46.518513,36.5,22.272017335317194,40.0,0,88
2023-06-18 22:52:47.921706,36.5,22.273898015503345,40.0,0,100
2023-06-18 22:52:49.327534,36.5625,22.273584568862496,40.0,0,86
2023-06-18 22:52:50.729453,36.5625,22.260419789415028,40.0,0,100
2023-06-18 22:52:52.133897,36.625,22.25164324750076,40.0,0,84
2023-06-18 22:52:53.536986,36.625,22.241612892056583,40.0,0,100
2023-06-18 22:52:54.940842,36.625,22.23785150276235,40.0,0,100
2023-06-18 22:52:56.343428,36.625,22.233776660665445,40.0,0,100
2023-06-18 22:52:57.746931,36.6875,22.233463211114213,40.0,0,82
2023-06-18 22:52:59.150552,36.6875,22.23095561388582,40.0,0,100
2023-06-18 22:53:00.553947,36.75,22.229388364879107,40.0,0,80
2023-06-18 22:53:01.957329,36.75,22.221238660881045,40.0,0,100
2023-06-18 22:53:03.359306,36.8125,22.22782111530396,40.0,0,78
2023-06-18 22:53:04.762683,36.8125,22.230328714351344,40.0,0,100
2023-06-18 22:53:06.167325,36.8125,22.232209412681915,40.0,0,100
2023-06-18 22:53:07.571770,36.8125,22.234717009182713,40.0,0,100
2023-06-18 22:53:08.973417,36.875,22.23095561388582,40.0,0,76
2023-06-18 22:53:10.376923,36.875,22.216223450780944,40.0,0,100
2023-06-18 22:53:11.781425,36.9375,22.210894783671755,40.0,0,74
2023-06-18 22:53:13.185068,36.9375,22.209954429970367,40.0,0,100
2023-06-18 22:53:14.588529,37.0,22.208700624716858,40.0,0,72
2023-06-18 22:53:15.991647,37.0,22.19898362166714,40.0,0,100
2023-06-18 22:53:17.395219,37.0625,22.1902069549702,40.0,0,71
2023-06-18 22:53:18.799864,37.0625,22.167011392888888,40.0,0,100
2023-06-18 22:53:20.201300,37.125,22.154786654663166,40.0,0,69
2023-06-18 22:53:21.603897,37.125,22.137233123908935,40.0,0,100
2023-06-18 22:53:23.006502,37.1875,22.126262130978283,40.0,0,67
2023-06-18 22:53:24.410092,37.1875,22.10996231862082,40.0,0,100
2023-06-18 22:53:25.813110,37.25,22.103066225653674,40.0,0,65
2023-06-18 22:53:27.216827,37.25,22.09648358119184,40.0,0,100
2023-06-18 22:53:28.619920,37.3125,22.09648358119184,40.0,0,63
2023-06-18 22:53:30.023374,37.3125,22.096170121681645,40.0,0,100
2023-06-18 22:53:31.426664,37.375,22.098677797126584,40.0,0,61
2023-06-18 22:53:32.830066,37.375,22.097737419005263,40.0,0,99
2023-06-18 22:53:34.233471,37.4375,22.097737419005263,40.0,0,59
2023-06-18 22:53:35.638418,37.4375,22.10118547111633,40.0,0,97
2023-06-18 22:53:37.039811,37.5,22.097737419005263,40.0,0,58
2023-06-18 22:53:38.444047,37.5,22.096170121681645,40.0,0,95
2023-06-18 22:53:39.847392,37.5625,22.09397590447361,40.0,0,56
2023-06-18 22:53:41.250419,37.5625,22.088020166435673,40.0,0,93
2023-06-18 22:53:42.654097,37.6875,22.078929813605193,40.0,0,14
2023-06-18 22:53:44.057449,37.6875,22.06482405583811,40.0,0,89
2023-06-18 22:53:45.460289,37.75,22.059808664202865,40.0,0,50
2023-06-18 22:53:46.863335,37.75,22.05886827762324,40.0,0,88
2023-06-18 22:53:48.267031,37.8125,22.061689436748203,40.0,0,48
2023-06-18 22:53:49.671087,37.8125,22.066077902837424,40.0,0,86
2023-06-18 22:53:51.075534,37.875,22.070779825844784,40.0,0,46
2023-06-18 22:53:52.479389,37.875,22.079243274365943,40.0,0,84
2023-06-18 22:53:53.881296,37.9375,22.07955673510396,40.0,0,44
2023-06-18 22:53:55.284126,37.9375,22.083945183048762,40.0,0,82
2023-06-18 22:53:56.688155,38.0,22.088020166435673,40.0,0,42
2023-06-18 22:53:58.092555,38.0,22.085825945089436,40.0,0,80
